n,bw_n
0,1.0
1,-2.53374359943626442629604309474366278857996840593983409182781
2,2.48383182426269494302055378049699079634641150905297881442504
3,-2.56405830481358399274467234740009588967727295381998452944154
4,2.46277383335969169817130520728017181480925275523263865369634
5,-2.5602727388779775195250373587396106337523698102472815060273
6,2.52477873509312010643282912475633330962247269604097760446456
7,-2.37359608298983058998262088665624830137216581465027898697898
8,2.96189968485159793923516007522688928193864426568446035995094
9,-1.45735555855750058703618268439688018414137175955199068473035
10,4.75851504800732274617703827409824814767405027238093133821111
11,1.89988099234789374523709773221546008678605588497056373562325
12,10.7886194678424013897470383022706624291928314946123841319034
13,12.3481973151088813997733109826997746840323791989191738353498
14,28.2579912487748444440847230061198813574247560413170380800987
15,40.4575527136209654421815276509890268302669580133784912486175
16,71.5059980587937148153974859522338067157420537816345911439611
17,103.279602834528035697587384904725976551750994714175886728771
18,155.473221782836891526446670130671674683731155383872206861052
19,200.406031376014583549871911081282336264641334759634920681766
20,233.884980673148593781585668006524904819771362403774796862034
21,175.774498926365919676809984532747510672040271250368051367302
22,-84.4886284832820157508350047144652911882332472437951191568572
23,-830.490812777076524352172319515546643337989781224361805015561
24,-2543.39259973368424611775418340835081818663742122664921938659
25,-6151.96597939707382217226542712540320431591389105750593312188
26,-13209.8239997621236335722329976214370257972412247652772070017
27,-26337.8707873120166484090756044381282532397863836163513807024
28,-49590.199526967912739257227751502176441543600147817647109521
29,-88948.6048033835168552149769967258349346404333453425859269975
30,-152281.095259923987461256921554391279530883368759308480611177
31,-248270.13556090043082949107715722974593300897943526085995246
32,-382240.322806757850291223703098575531274412609406332732833549
33,-545725.287727206092804568865776631236049308901527206757793168
34,-692897.185826033033156353506200475779592338482258394869786214
35,-692450.202524300622948551449917740001149593046429975174321069
36,-234640.231261237260191290802358526373394376122232798000078696
37,1338404.14841193283058613142480762144991781840191347073619454
38,5327968.25135631376105549635717763851481623631707402567700315
39,14165801.147066252407043192832791616270880050229598006211143
40,32170144.7391335629391857545847996376716452639757320334394406
41,66626310.0869865388696044189746959056415374360545683455967585
42,129141489.033491079384076743743749146533961504300432984713506
43,236918285.802370148092470149296932582782278859074961837754055
44,412869876.253956213136720542716096959130636603064939256090515
