n,c_n
0,1.0
1,-1.59950986430527506053077076128521613088927337701932642172215872390989149786117633518066771692016747608523228749354144956196374234058160404944667182001
2,6.01868106611767996741992414618702010310251489626111289540286493127163128821449772987619958792435607042452742221205587098402003610406014889939476155607
3,-37.9904569913516285298949141369282823986445304332464289852263909360225645463876965736119179249191900326222464969698879550157195227376371213977616551023
4,335.776702468119221376045796519013115151348478381282231301457560018155387130315293769014863104952408005910514960624104851171157797024593166535701866946
5,-3815.43660128572908638664421682510459605475517234144353677608736991059757055126567346765183862225711122221089608902457872750163136807024339200278864963
6,52989.6956255950634568118721240175488132801574591051083553945449634996217653674082248243959927774093749666838579383896916064677090227600783770048814897
7,-869739.155316218077251806666340877371761786281492720679600454090943239084242315135403110685829818067090445721236800190489920376110467120932467978245781
8,16471552.4766121355010897519686963135177395879553719717334458801448182347861572839270311646210662929127740796623181087569882241499009285761353658554912
9,-353539309.705340023131035101335164181589721196997728320073453174007286733755211272346606632309334890147793624966349012985660533628061518198057311631167
10,8480970729.94583959853834003423573357170005942539426081591225821530275313995902141711850802818929757200967177669793080985781042115827377640444793840569
11,-224863575962.73497269664296284180838849704119067446763474430990052680386365691644841843442030022843477664981262944958759262965662738091990350751001543
12,6529819894147.26947542056910680689444843936828909953698460327540555975466926726022486098269940203485827207789059486368902655688225185928263315503258353
13,-206108292392900.091207606061822863815457854784167176724466080162326528830745831192717336573308176997440720313425100019359729045292021467046368507902057
14,7026086353421540.34092639323055932082972280953242587862361504850337591537937559690677831272905760812226143669880899688712394111945685539347107788776903
15,-257256131627135943.649378116205279979186762681025472223238064040414585431118995754062256990265644413275832008473081180326817511553983663887318937085222
16,10068891997396518221.732051866116894364052975913523490593083574882031266053462270158025622593106241563511221941360868424019679205047588571515815224905
17,-419517301205563328752.682133734058084505132383018788367070048642393178499710238955394838207792017893482059903440757913658234784211099884204911957092993
18,18538396827998918332004.2657627799505176348002188846009246330396297028551956251392128082018730783979381255331362849694469562012799222366253808819363013
19,-866020459411385788640727.361239079657432455917399354023466554096945813739886116590923787156250613815638810858613157980656914418975571087652807442963762
20,42642927599500498798643764.0492402424831860835254065734199148621948250507426748034717115780674224443719181865627900145211297539721364419454536310292291
21,-2207420764666737377275167818.66922938001252346631375480121742703784226820099240054956065007238463987824387097491959262032908342513953841605346888148644
22,119841664647772022578057849818.668263528704366024229209255241946220012200138883505119255027494212201651376548925900011840766344429228483885108071118229
23,-6808863072071399795279053604345.77463219493862999421378934685966502512815004289148048589668103262088530568803549789681566710900971338492246533550835365
24,404042186109554460380327598137676.527228199152470402123021125979700128572932402416937944221642751923593718198079877558853923545591344837690773042813114
25,-24996375843753867070261870233168436.0542565962234254326209489860090785313965417221009539076193171312486747667382929666925450353817424714573312569645679
26,1609538894847895213350080723153837933.65461223139664139249333279880155729865067378926247462347197231925203786247103649031837945848065162927831612812626
27,-107703942113831796090326311973548142368.718751394952089102306073585085384390992655163635618960326937776077761696603417695190878165072648252476576793711
28,7479086268293460933371208017092777096476.06767431628846789677228169855542830640010998601269267544815011040541718392525259432417541649878537861412764276
29,-538242085026178441629681653919609476470090.926215858324526622242448481379405663487773939477265758308010129524115109295497983755530880212039972424590392
30,40094418353881090419087590718849626124493227.594413002163760124373041032727780175891232988431582096822095276455514488777875573794613894359824678871702
31,-3087933978929770760619424238262456112999258492.72098454768560516257959725913356200133197430431916009205077705940801675710080095510655054526584255285798
32,245619481170386285623994172428772977876313680949.861454536985406310250665596125592807364953243235604105814225382666442382539478615020294958936815431912
33,-20157209988038370695041381373114038719625275721126.1225466737334384047491954323124693779587191432845915411093818668282595404634149805237975314990561269
34,1705137778529931840023388873896059368569947001692433.59207395034219574173231598520864864547940155819334161872918217096806827679256245943540977393045459
35,-148546635988098371594901505811578494587097063357859462.663818159708699225287012617220911841677870723750933177722571061321420884072054055913294774066656
36,13316050198124763675127419030142469062293547145755046101.5190639484153149593274405330179184652639891772351922774399478160734710705123959830463780534632
37,-1227305096274402915028888839451940761548733541048638667527.21594678382262760606124823471821521049720268011220166561801669619119213464790417101358698118
