start_order,stokes_real,stokes_imag,weighted_nrmse
5.000000000000000000e+01,-9.786912137996820471e-01,-5.206490028926705031e-03,2.036272717136421509e-02
5.500000000000000000e+01,-9.826110303058467332e-01,7.157986865786133621e-03,1.152609324747712154e-02
6.000000000000000000e+01,-9.905491425776917769e-01,8.669157183646365727e-03,4.166522128370964660e-03
