n,d_n_real,d_n_imag
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.792644914122174860e-01,-6.269216373605646730e-143
2.000000000000000000e+00,-6.557981877947161205e-03,-2.488769710404425816e-143
3.000000000000000000e+00,1.148511040867790101e-01,3.503582205417875233e-145
4.000000000000000000e+00,2.243186851869996001e-01,-5.203558978690945079e-143
5.000000000000000000e+00,4.934731246128986615e-01,-1.051713171987452984e-142
