w_real,w_imag,zeta_real,zeta_imag,residue_real,residue_imag
5.356073767266965602e-01,1.196776039465408809e-01,2.831243366401975603e+00,2.504669377761904681e+00,2.759143789161541595e-03,1.596617919941454005e-03
5.441122436264274054e-01,1.167698916141970134e-01,3.011080819894929927e+00,2.603294883658044068e+00,7.550221805764575911e-03,4.278995566927799692e-03
5.601803000511091923e-01,1.102975046992853703e-01,3.404124849923581664e+00,2.785780264904766046e+00,1.681407312255205413e-02,8.217804169299512337e-03
5.850483795724912284e-01,9.260912618456378087e-02,4.295408416110116256e+00,2.914461343263801130e+00,6.418852386610982008e-02,2.065007250729643858e-03
6.338979432330977826e-01,7.522059415119954073e-02,6.269756136461170470e+00,3.618166379348905171e+00,1.040682759790609035e-01,-2.756190908211325619e-02
