seed,p_mc,se_mc,p_is,se_is,variance_reduction
11,0.0412,0.0011475172735939275,0.041895934127814956,0.00043764757584661144,6.874947862202588
21,0.042366666666666664,0.0011629428856479798,0.04197601846011687,0.00043762035138142813,7.06190305659615
31,0.0434,0.0011764044645651464,0.04242589867548489,0.0004435192513711372,7.03539323742683
41,0.043166666666666666,0.0011733809040304784,0.04235730344247979,0.0004432615982280022,7.007414639843694
51,0.041966666666666666,0.0011576816744743922,0.04248309846307818,0.00044270954937276186,6.838180142179566
