n_coeffs,nearest_pole_real,nearest_pole_imag,distance_to_minus_rate
1.200000000000000000e+01,-4.036666470718478505e-01,0.000000000000000000e+00,7.647895331176213229e-03
1.400000000000000000e+01,-4.014438312621900762e-01,0.000000000000000000e+00,5.425079521518438863e-03
1.600000000000000000e+01,-3.992651751799082271e-01,0.000000000000000000e+00,3.246423439236589825e-03
1.800000000000000000e+01,-3.996787112427402366e-01,0.000000000000000000e+00,3.659959502068599324e-03
2.000000000000000000e+01,-3.988242815499973282e-01,0.000000000000000000e+00,2.805529809325690849e-03
2.200000000000000000e+01,-3.982959724081548414e-01,0.000000000000000000e+00,2.277220667483204064e-03
2.400000000000000000e+01,-3.979270663829414523e-01,0.000000000000000000e+00,1.908314642269814954e-03
2.600000000000000000e+01,-3.974451415829367007e-01,0.000000000000000000e+00,1.426389842265063379e-03
