T,rho_antistokes
1.949999999999999956e+00,9.594722075519562798e-02
2.075000000000000178e+00,-1.629115828437482927e-02
2.200000000000000178e+00,-1.389060899227631818e-01
2.325000000000000178e+00,-2.713028584495188467e-01
2.450000000000000178e+00,-4.134960113262260983e-01
2.575000000000000178e+00,-5.660446730472901145e-01
2.700000000000000178e+00,-7.294218215982596343e-01
