quantity,value
rho_c,0.02994951567745894
p_c,-13.470910377298026
phi_prho,-0.3552648106228952
phi_ppp,-0.06862874837952306
alpha,-10.353235896369533
split_coefficient,3.2176444639471176
airy_slope,-1.0932684905008974
action_split_coefficient,1.5241544681813066
