real,imag
-2.544297592197123925e-01,0.000000000000000000e+00
-2.745656595928959165e-01,0.000000000000000000e+00
-3.165173326153346567e-01,0.000000000000000000e+00
-3.938398408586812338e-01,0.000000000000000000e+00
-5.392236598670363534e-01,0.000000000000000000e+00
-8.429076107618526104e-01,0.000000000000000000e+00
-1.630605638686655423e+00,0.000000000000000000e+00
-4.942768505041732929e+00,0.000000000000000000e+00
