T,rho_c,rho_test,average_singulant_imag,monodromy,cfu_zeta_real,cfu_zeta_imag
8.000000000000000444e-01,1.707731557029307581e-02,4.707731557029307123e-02,2.482246047280824097e+00,2.482246047280824097e+00,-3.634712158803871107e-02,4.451238611101127186e-18
1.000000000000000000e+00,2.994951567745893911e-02,5.994951567745893800e-02,2.482246047280824097e+00,2.482246047280824097e+00,-3.263449836194114162e-02,3.996573396073076014e-18
1.500000000000000000e+00,7.501882928335942835e-02,1.050188292833594272e-01,2.482246047280824097e+00,2.482246047280824097e+00,-2.684418643789341155e-02,3.287464699688095732e-18
2.000000000000000000e+00,1.359550281413632877e-01,1.659550281413632866e-01,2.482246047280824097e+00,2.482246047280824097e+00,-2.341741377158922111e-02,2.867806081968588799e-18
