n_coeffs,zeta_real,zeta_imag,relative_gap,chain_poles
5.500000000000000000e+01,2.856655959940542111e+00,2.518358591417710013e+00,1.976624389284974831e-02,4.000000000000000000e+00
6.000000000000000000e+01,2.856063880552024425e+00,2.517600267480943899e+00,1.952900498382795225e-02,4.000000000000000000e+00
6.500000000000000000e+01,2.850614064238395251e+00,2.514345837790315397e+00,1.783098172931243605e-02,4.000000000000000000e+00
7.000000000000000000e+01,2.841489264010624627e+00,2.516371153308171404e+00,1.603736801713988996e-02,4.000000000000000000e+00
7.500000000000000000e+01,2.831243366404323503e+00,2.504669377763981242e+00,1.204196295943904711e-02,5.000000000000000000e+00
