rho,target_re,target_im,pade_re,pade_im,pade_relative_error,latefit_re,latefit_im,latefit_relative_error,latefit_weighted_rms
4.000000000000000083e-02,2.129968643781310345e+00,2.483011919527453593e+00,2.272584046915674616e+00,2.617500258523859369e+00,5.992103366245599833e-02,2.113252777414049710e+00,2.422167979420133843e+00,1.928783102839216890e-02,5.503118020686522684e-05
5.000000000000000278e-02,2.114715272144703118e+00,2.484398718802441230e+00,2.253245722460782474e+00,2.617115098626114911e+00,5.880194991734356835e-02,2.116176081643637019e+00,2.441131889189879445e+00,1.326920105715500425e-02,2.455535647093186661e-04
8.000000000000000167e-02,2.068845679986667019e+00,2.490676253154199493e+00,2.190370937139713536e+00,2.653234862978553821e+00,6.268452215701596220e-02,2.058731003295628526e+00,2.444853599989875725e+00,1.449291756369440118e-02,6.679246044283367512e-05
