n,bw_n
0,1.0
1,-2.533743599436264426296043094743662788579968405939834091827805517355327975628595086367597428432804579
2,2.483831824262694943020553780496990796346411509052978814425044217793843271940876380962254127819256068
3,-2.56405830481358399274467234740009588967727295381998452944154014271167604318598075883568239784019349
4,2.462773833359691698171305207280171814809252755232638653696339142131305848925193235794641985203591725
5,-2.560272738877977519525037358739610633752369810247281506027295503542465070875380113715801198175154158
6,2.524778735093120106432829124756333309622472696040977604464556948525815825830896944342806486777874654
7,-2.373596082989830589982620886656248301372165814650278986978977758795602653892578546581203229961529411
8,2.961899684851597939235160075226889281938644265684460359950941141522096749372436415752488971495056243
9,-1.457355558557500587036182684396880184141371759551990684730352021626183443438939801740529963258643877
10,4.75851504800732274617703827409824814767405027238093133821111347664493863373794005482491655256027031
11,1.899880992347893745237097732215460086786055884970563735623249902107142117511562889970867441067458633
12,10.78861946784240138974703830227066242919283149461238413190337316010198871457972638402931350398573131
13,12.34819731510888139977331098269977468403237919891917383534978370238699491617931988059663945977785722
14,28.25799124877484444408472300611988135742475604131703808009867805973631077304964451096187323906476573
15,40.4575527136209654421815276509890268302669580133784912486175440885696161010751555850659871445012273
16,71.50599805879371481539748595223380671574205378163459114396108200800636211056023269389726110243095566
17,103.2796028345280356975873849047259765517509947141758867287705853414720585685459166974110871593829913
18,155.4732217828368915264466701306716746837311553838722068610515684035920709604635726860723933921999798
19,200.4060313760145835498719110812823362646413347596349206817656366910686045868278414209999970072498899
20,233.8849806731485937815856680065249048197713624037747968620341365121002415159988423578515780941799724
21,175.7744989263659196768099845327475106720402712503680513673022691957462889694720526510118259829589178
22,-84.4886284832820157508350047144652911882332472437951191568571782894940316254312238046104866323897018
23,-830.4908127770765243521723195155466433379897812243618050155605055296004338400347494628364613462008687
24,-2543.392599733684246117754183408350818186637421226649219386587592977929842908713222506540576089079386
25,-6151.965979397073822172265427125403204315913891057505933121884553516760557054905179655757646243795265
26,-13209.82399976212363357223299762143702579724122476527720700169361730937911592547599169900316104417505
27,-26337.87078731201664840907560443812825323978638361635138070235928941066390176564653703848647733215482
28,-49590.19952696791273925722775150217644154360014781764710952097709005561474825433733654306810642302224
29,-88948.60480338351685521497699672583493464043334534258592699748869607923527372464913096545754924065239
30,-152281.0952599239874612569215543912795308833687593084806111765092086388839812494716740163633397646553
31,-248270.1355609004308294910771572297459330089794352608599524603636628053961164782270968467808288546723
32,-382240.322806757850291223703098575531274412609406332732833549152000126305608496479541987901374168221
33,-545725.2877272060928045688657766312360493089015272067577931683965393331040660573161263183254628136
34,-692897.1858260330331563535062004757795923384822583948697862142040168752208410561970199863047582612433
35,-692450.2025243006229485514499177400011495930464299751743210692564587591797347671799197537113738469738
36,-234640.231261237260191290802358526373394376122232798000078695960056361169120135374540242934168066818
37,1338404.14841193283058613142480762144991781840191347073619453735646502310567865288081964721810708173
38,5327968.251356313761055496357177638514816236317074025677003147717803508059574433860538348619313000432
39,14165801.14706625240704319283279161627088005022959800621114297231375574034188604810227253494892300146
40,32170144.73913356293918575458479963767164526397573203343944058196752391893997738104014933302747655752
41,66626310.08698653886960441897469590564153743605456834559675847988868271764125643861187651192698141807
42,129141489.0334910793840767437437491465339615043004329847135058118301917056178911015022052927670876117
43,236918285.8023701480924701492969325827822788590749618377540551817890789825409764299222299096190856933
44,412869876.2539562131367205427160969591306366030649392560905149820206637124708325459392206826476159136
45,681952577.2753038352787560659318222056372322589721267066888898197052233922758463800802359409857990155
46,1058005216.353293989220058185521001339145861402672442228009692456216614349523609432213099926946906654
47,1509557986.994191469446895866948428439260087844932371406223627249254728886387930048245611873650763696
48,1882620015.301560775558804788207227026155436096022196349148651275462267294054918249991767174444770766
49,1740619023.234826898045301349906871504076957464810709759872013392796375440042750647264602098508633491
50,52899169.14390612625631440985092051620174346687786154139834754053251764828634544598736187997376173871
51,-5380077104.850142292658658484083242932286110684998893902583460150844632964618317907202263411273525719
52,-18935426422.31634744625688351870211523525509988976897340367368422598285732942789120545655988485161968
53,-48847266438.8553676558669182781063343757640173247723538959553271648654305618251131350572963239674158
54,-109835985001.5230169268443149611306378269425210894141787069003993510251352370030864469372716809661176
55,-226900548372.2497099340494847817300467832784315177166132726100665813858182144851955653681324535725902
56,-440118448590.1245570711843325344764027459164628769562123819702599117645494727286360194431900582276278
57,-809216781001.0200713026607994524340155670585912708009958584766236463765677420668565032476276684777531
58,-1414074517559.751198133839455189517840285644548632072724866346529818691480399481283034394363573455405
59,-2341673686941.497776757064319201286770241601368780371161655836157283536333969280384859685016943359613
