start_order,zeta_real,zeta_imag,absolute_gap,relative_gap,weighted_rms
4.500000000000000000e+01,2.749770093975091534e+00,2.499241373341162031e+00,4.574437479724745986e-02,1.224401229405986703e-02,4.268631634712305662e-04
5.000000000000000000e+01,2.752557579611100369e+00,2.484550199363276146e+00,3.974942136587333169e-02,1.063939350013379942e-02,2.063322462814104561e-04
5.500000000000000000e+01,2.766420217564544703e+00,2.477962756743068429e+00,2.617281285204968097e-02,7.005456818483115668e-03,6.302688385578444907e-05
5.800000000000000000e+01,2.773724789308004812e+00,2.478213036091680532e+00,1.894951773694226668e-02,5.072058130994232771e-03,2.494498463374329733e-05
6.000000000000000000e+01,2.777400555705491492e+00,2.479319587882766296e+00,1.512541217421711943e-02,4.048491938837927955e-03,1.196891182227108928e-05
6.200000000000000000e+01,2.780068703366942451e+00,2.480740318772860942e+00,1.226424212742815642e-02,3.282666602202484549e-03,5.065990855552870939e-06
