start_order,w_real,w_imag,zeta_real,zeta_imag,absolute_gap,relative_gap,weighted_rms
3.000000000000000000e+01,5.356596865817081499e-01,1.245513297589613128e-01,2.751238553095325390e+00,2.576376219413702984e+00,1.026723978332040460e-01,2.748145770714522512e-02,1.048876329720417871e-03
3.500000000000000000e+01,5.341710155463919030e-01,1.236871773162658977e-01,2.744433479608368920e+00,2.539350379884374398e+00,7.447404734555103378e-02,1.993384225555515019e-02,3.391238546867694770e-04
4.000000000000000000e+01,5.341589237678873170e-01,1.226055179247741017e-01,2.762055387299869214e+00,2.523689487678744570e+00,5.127064856130252035e-02,1.372318354095823298e-02,5.691001523314322000e-05
4.200000000000000000e+01,5.342600219635954550e-01,1.224039700902870564e-01,2.766817232058116360e+00,2.522450007053791854e+00,4.756767570518070920e-02,1.273203992218800533e-02,2.032303672506666084e-05
4.500000000000000000e+01,5.343511490949115483e-01,1.222960931442842458e-01,2.769900991005152857e+00,2.522391301577407319e+00,4.594213778365142942e-02,1.229694585031837137e-02,4.698541222918227572e-06
4.800000000000000000e+01,5.343089015564448374e-01,1.223166859159618147e-01,2.768953904180148307e+00,2.521994739200266178e+00,4.606743246916698148e-02,1.233048242561604266e-02,4.248922859241792444e-06
5.000000000000000000e+01,5.342027202694807908e-01,1.223466412184985586e-01,2.766932566003740490e+00,2.520684342404137634e+00,4.602148379535431905e-02,1.231818373032177866e-02,2.638536706362685721e-06
