order,upper_re,upper_im,lower_re,lower_im,conjugacy_error
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-2.876356718419751157e+00,3.216693776148767370e+01,-2.876356718419751157e+00,-3.216693776148767370e+01,0.000000000000000000e+00
2.000000000000000000e+00,-7.986879799799194188e+03,-6.675450080605504581e+02,-7.986879799799194188e+03,6.675450080605504581e+02,0.000000000000000000e+00
3.000000000000000000e+00,3.086000311770699336e+05,-3.796628080441613216e+06,3.086000311770699336e+05,3.796628080441613216e+06,0.000000000000000000e+00
4.000000000000000000e+00,2.676299502496992111e+09,2.145382585482584536e+08,2.676299502496992111e+09,-2.145382585482584536e+08,0.000000000000000000e+00
5.000000000000000000e+00,-1.990571468469805908e+11,2.503840713355769531e+12,-1.990571468469805908e+11,-2.503840713355769531e+12,0.000000000000000000e+00
